Question,Differences,Which Items Effected,Negative or Positive,Items Stronger Randomized
1,3,"11, 13, 18",1 Negative; 2 Positive,18
2,1,6,1 Positive,N/A
3,1,8,1 Negative,8
4,0,N/A,N/A,N/A
5,2,"6, 11",2 Positive,N/A
6,2,"2, 5",2 Positive,N/A
7,3,"13, 18, 20",3 Positive,N/A
8,2,"3, 20",2 Negative,3 & 20
9,2,"11, 13",2 Positive,N/A
10,1,20,1 Positive,N/A
11,4,"1, 5, 9, 12",4 Positive,N/A
12,2,"11, 13",2 Positive,N/A
13,6,"1, 7, 12, 15, 16",6 Positive,N/A
14,0,N/A,N/A,N/A
15,0,N/A,N/A,N/A
16,1,13,1 Positive,N/A
17,1,13,1 Positive,N/A
18,3,"1, 7, 20",1 Negative; 2 Positive,1
19,0,N/A,N/A,N/A
20,4,"7, 8, 10, 18",1 Negative; 3 Positive,8